[2026-03-28T08:16:18.934Z] [INFO] Checking system dependencies... 
[2026-03-28T08:18:13.054Z] [INFO] Converting F48-Introduction (28 pages)... 
[2026-03-28T08:18:13.430Z] [INFO] Converting F48-Introduction_1 (2 pages)... 
[2026-03-28T08:18:13.476Z] [INFO] Converting F48-Passive-Safety-Systems (34 pages)... 
[2026-03-28T08:18:13.984Z] [INFO] Converting F48-Powertrain (38 pages)... 
[2026-03-28T08:18:14.540Z] [INFO] Converting F82-GTS-Complete-Vehicle (90 pages)... 
[2026-03-28T08:18:16.020Z] [INFO] Converting F87-Complete-Vehicle (70 pages)... 
[2026-03-28T08:18:17.035Z] [INFO] Converting FB-E70-N52KP-MSV80-MY2007-en-only.pdf (73 pages)... 
[2026-03-28T08:18:19.829Z] [INFO] Converting FBMW-F10-Service-Manual-December-2009 (42 pages)... 
[2026-03-28T08:18:20.481Z] [INFO] Converting Features-and-Technology-07-18-Design-Revision (66 pages)... 
[2026-03-28T08:18:21.852Z] [INFO] Converting Fundamentals-of-Coding-and-Programming-05-06 (22 pages)... 
[2026-03-28T08:18:22.316Z] [INFO] Converting G05-Displays-Controls-Technical-Training-July-2018 (34 pages)... 
[2026-03-28T08:18:22.789Z] [INFO] Converting G12-Audio-Systems (72 pages)... 
[2026-03-28T08:18:23.815Z] [INFO] Converting G12-Chassis-and-Suspension (118 pages)... 
[2026-03-28T08:18:25.509Z] [INFO] Converting G12-Chassis-and-Suspension_1 (118 pages)... 
[2026-03-28T08:18:27.203Z] [INFO] Converting G12-Climate-Control-Systems (30 pages)... 
[2026-03-28T08:18:27.627Z] [INFO] Converting G12-Climate-Control_1 (30 pages)... 
[2026-03-28T08:18:28.058Z] [INFO] Converting G12-Displays-and-Controls (84 pages)... 
[2026-03-28T08:18:29.282Z] [INFO] Converting G12-Driver-Assistance-Systems (158 pages)... 
[2026-03-28T08:18:31.026Z] [ERROR] Failed to process G12-Driver-Assistance-Systems.pdf: Invalid count value: -1 
[2026-03-28T08:18:31.052Z] [INFO] Converting G12-General-Vehicle-Electronics (80 pages)... 
[2026-03-28T08:18:32.136Z] [INFO] Converting G12-General-Vehicle-Electronics_1 (176 pages)... 
[2026-03-28T08:18:33.836Z] [ERROR] Failed to process G12-General-Vehicle-Electronics_1.pdf: Invalid count value: -1 
[2026-03-28T08:18:33.859Z] [INFO] Converting G12-General-Vehicle-Electronics_1_2 (80 pages)... 
[2026-03-28T08:18:34.964Z] [INFO] Converting G12-Introduction (62 pages)... 
[2026-03-28T08:18:35.826Z] [INFO] Converting G12-Introduction_1 (2 pages)... 
[2026-03-28T08:18:35.871Z] [INFO] Converting G12-Introduction_1_2 (62 pages)... 
[2026-03-28T08:18:36.737Z] [INFO] Converting G12-LCI-PHEV-Complete-Vehicle-Training-Manual-2019 (1 pages)... 
[2026-03-28T08:18:36.773Z] [INFO] Converting G12-Navigation (48 pages)... 
[2026-03-28T08:18:37.584Z] [INFO] Converting G12-Passive-Safety-Systems (42 pages)... 
[2026-03-28T08:18:38.160Z] [INFO] Converting G12-Passive-Safety-Systems_1 (46 pages)... 
[2026-03-28T08:18:38.778Z] [INFO] Converting G12-Powertrain (112 pages)... 
[2026-03-28T08:18:40.259Z] [ERROR] Failed to process G12-Powertrain.pdf: Invalid count value: -1 
[2026-03-28T08:18:40.286Z] [INFO] Converting G12-Powertrain_1 (112 pages)... 
[2026-03-28T08:18:41.800Z] [ERROR] Failed to process G12-Powertrain_1.pdf: Invalid count value: -1 
[2026-03-28T08:18:41.824Z] [INFO] Converting G12-Rear-Seat-Entertainment (40 pages)... 
[2026-03-28T08:18:42.398Z] [INFO] Converting G12-Telephone (64 pages)... 
[2026-03-28T08:18:43.338Z] [INFO] Converting G12-Voltage-Supply-and-Bus-Systems (78 pages)... 
[2026-03-28T08:18:44.457Z] [INFO] Converting G12-Voltage-Supply-and-Bus-Systems_1 (78 pages)... 
[2026-03-28T08:18:45.555Z] [INFO] Converting G30-Chassis-and-Suspension (66 pages)... 
[2026-03-28T08:18:46.503Z] [INFO] Converting G30-Climate-Control (12 pages)... 
[2026-03-28T08:18:46.676Z] [INFO] Converting G30-Displays-and-Controls (32 pages)... 
[2026-03-28T08:18:47.105Z] [INFO] Converting G30-Driver-Assistance-Systems (138 pages)... 
[2026-03-28T08:18:48.506Z] [ERROR] Failed to process G30-Driver-Assistance-Systems.pdf: Invalid count value: -1 
[2026-03-28T08:18:48.531Z] [INFO] Converting G30-General-Vehicle-Electronics (58 pages)... 
[2026-03-28T08:18:49.333Z] [INFO] Converting G30-Infotainment (34 pages)... 
[2026-03-28T08:18:49.808Z] [INFO] Converting G30-Introduction-and-Body (32 pages)... 
[2026-03-28T08:18:50.269Z] [INFO] Converting G30-Navigation (24 pages)... 
[2026-03-28T08:18:50.620Z] [INFO] Converting G30-Passive-Safety-Systems (46 pages)... 
[2026-03-28T08:18:51.263Z] [INFO] Converting G30-Powertrain (50 pages)... 
[2026-03-28T08:18:52.027Z] [INFO] Converting G30-Telephone-and-Telematics (32 pages)... 
[2026-03-28T08:18:52.480Z] [INFO] Converting G30-Voltage-Supply-and-Bus-Systems (78 pages)... 
[2026-03-28T08:18:53.658Z] [INFO] Converting G32-Complete-Vehicle-BMW-Training-Manual-June2017 (44 pages)... 
[2026-03-28T08:18:54.276Z] [INFO] Converting Glossary.qxd (20 pages)... 
[2026-03-28T08:18:54.551Z] [INFO] Converting HDRadio-Operation-Guide-v1.0 (5 pages)... 
[2026-03-28T08:18:54.632Z] [INFO] Converting High-Beam-Assistant (22 pages)... 
[2026-03-28T08:18:54.958Z] [INFO] Converting ICOM-Integrated-Communication-Optical-Module-Manual (16 pages)... 
[2026-03-28T08:18:55.251Z] [INFO] Converting IMIB-Integrated-Measurement-Interface-Box-Manual (8 pages)... 
[2026-03-28T08:18:55.386Z] [INFO] Converting ISIS-Rack-Cabinet-Manual (24 pages)... 
[2026-03-28T08:18:55.901Z] [INFO] Converting IntegratedServiceAccessPoint-Introduction-3 (4 pages)... 
[2026-03-28T08:18:55.974Z] [INFO] Converting Intro-to-Passive-Safety.qxd (16 pages)... 
[2026-03-28T08:18:56.203Z] [INFO] Converting Introduction-NewProgrammingSystem-01-09 (60 pages)... 
[2026-03-28T08:18:57.099Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd (72 pages)... 
[2026-03-28T08:18:58.461Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1 (42 pages)... 
[2026-03-28T08:18:59.180Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2 (16 pages)... 
[2026-03-28T08:18:59.547Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2_3 (92 pages)... 
[2026-03-28T08:19:00.789Z] [ERROR] Failed to process Introduction-to-Chassis-Dynamics.qxd_1_2_3.pdf: Invalid count value: -1 
[2026-03-28T08:19:00.816Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2_3_4 (182 pages)... 
[2026-03-28T08:19:02.219Z] [ERROR] Failed to process Introduction-to-Chassis-Dynamics.qxd_1_2_3_4.pdf: Invalid count value: -1 
[2026-03-28T08:19:02.246Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2_3_4_5 (64 pages)... 
[2026-03-28T08:19:03.469Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2_3_4_5_6 (64 pages)... 
[2026-03-28T08:19:04.573Z] [INFO] Converting Introduction-to-Chassis-Dynamics.qxd_1_2_3_4_5_6_7 (28 pages)... 
[2026-03-28T08:19:05.127Z] [INFO] Converting LaneDepartureWarningSystem-Overview-04-07 (35 pages)... 
[2026-03-28T08:19:05.612Z] [INFO] Converting M-Engines-S62B50-Technical-Overview (26 pages)... 
[2026-03-28T08:19:06.049Z] [INFO] Converting MSV70-Engine-Electronics.qxd (67 pages)... 
[2026-03-28T08:19:07.308Z] [ERROR] Failed to process MSV70-Engine-Electronics.qxd.pdf: Invalid count value: -1 
[2026-03-28T08:19:07.331Z] [INFO] Converting Microsoft-Word---Lifetime-Maintenance-Schedule-v03.13 (46 pages)... 
[2026-03-28T08:19:08.506Z] [INFO] Converting Multimeter-DisplayRange-Oscilloscope-Settings-30April2023 (42 pages)... 
[2026-03-28T08:19:09.152Z] [INFO] Converting N52-Engine.qxd (63 pages)... 
[2026-03-28T08:19:10.187Z] [INFO] Converting N55-Engine (100 pages)... 
[2026-03-28T08:19:11.221Z] [ERROR] Failed to process N55-Engine.pdf: Invalid count value: -1 
[2026-03-28T08:19:11.244Z] [INFO] Converting N62-Engine-Update.qxd (16 pages)... 
[2026-03-28T08:19:11.493Z] [INFO] Converting N74-Engine (51 pages)... 
[2026-03-28T08:19:12.322Z] [INFO] Converting Principles-of-Hybrid-Technology.pdf (124 pages)... 
[2026-03-28T08:19:13.232Z] [ERROR] Failed to process Principles-of-Hybrid-Technology.pdf.pdf: Invalid count value: -1 
[2026-03-28T08:19:13.257Z] [INFO] Converting PuMA-Production-Measures-Management-Aftersales (16 pages)... 
[2026-03-28T08:19:13.506Z] [INFO] Converting Road-Force-Balancing.qxd (25 pages)... 
[2026-03-28T08:19:13.895Z] [INFO] Converting Rollover-Protection-Systems.qxd (27 pages)... 
[2026-03-28T08:19:14.356Z] [INFO] Converting SMG-II.pdf (47 pages)... 
[2026-03-28T08:19:15.090Z] [INFO] Converting ST1313-Cover-RM-2-ST1212-Cover-RM (16 pages)... 
[2026-03-28T08:19:15.368Z] [INFO] Converting ST1401-Cover-RM.qxd (2 pages)... 
[2026-03-28T08:19:15.435Z] [INFO] Converting ST1412-Cover-RM-ST1412-Cover-RM (2 pages)... 
[2026-03-28T08:19:15.508Z] [INFO] Converting ST1600-Cover (2 pages)... 
[2026-03-28T08:19:15.565Z] [INFO] Converting ST1604-Cover (2 pages)... 
[2026-03-28T08:19:15.617Z] [INFO] Converting ST1607-Cover-RM-ST1201-Cover-RM.qxd (72 pages)... 
[2026-03-28T08:19:16.369Z] [ERROR] Failed to process ST1607-Cover-RM-ST1201-Cover-RM.qxd.pdf: Invalid count value: -1 
[2026-03-28T08:19:16.395Z] [INFO] Converting ST1607-Cover-RM-ST1201-Cover-RM.qxd_1 (198 pages)... 
[2026-03-28T08:19:17.185Z] [ERROR] Failed to process ST1607-Cover-RM-ST1201-Cover-RM.qxd_1.pdf: Invalid count value: -1 
[2026-03-28T08:19:17.208Z] [INFO] Converting ST1607-Cover-RM-ST1201-Cover-RM.qxd_1_2 (2 pages)... 
[2026-03-28T08:19:17.280Z] [INFO] Converting ST1701-Cover.qxd (50 pages)... 
[2026-03-28T08:19:17.949Z] [ERROR] Failed to process ST1701-Cover.qxd.pdf: Invalid count value: -1 
[2026-03-28T08:19:17.971Z] [INFO] Converting ST1701-Cover.qxd_1 (12 pages)... 
[2026-03-28T08:19:18.153Z] [INFO] Converting ST1701-Cover.qxd_1_2 (22 pages)... 
[2026-03-28T08:19:18.502Z] [INFO] Converting ST1701-Cover.qxd_1_2_3 (138 pages)... 
[2026-03-28T08:19:40.828Z] [INFO] Checking system dependencies... 
[2026-03-28T08:19:40.836Z] [INFO]   ✓ pdfinfo found at /usr/bin/pdfinfo 
[2026-03-28T08:19:40.838Z] [WARN]   - pdf2html not found (optional) 
[2026-03-28T08:19:40.840Z] [INFO]   ✓ pdftohtml found at /usr/bin/pdftohtml 
[2026-03-28T08:19:40.842Z] [WARN]   - pdf2htmlEX not found (optional) 
[2026-03-28T08:19:40.842Z] [INFO] Using tool: pdftohtml 
[2026-03-28T08:19:40.842Z] [INFO] Input: /home/stefan/Projects/ecudocs.com/src/content/pdfs 
[2026-03-28T08:19:40.842Z] [INFO] Output: /home/stefan/Projects/ecudocs.com/src/content/pdf-html 
[2026-03-28T08:19:40.842Z] [INFO] Parallel workers: 1 
[2026-03-28T08:19:40.843Z] [INFO] Found 253 PDF files 
[2026-03-28T08:19:40.857Z] [INFO] Skipping -E90-Driver-Info-Systems.qxd - already converted (use --force to overwrite) 
[2026-03-28T08:19:40.869Z] [INFO] Skipping 01-Basic-Measuring-Techniques.qxd - already converted (use --force to overwrite) 
[2026-03-28T08:19:40.882Z] [INFO] Skipping 01-Brake-Systems - already converted (use --force to overwrite) 
